Date,0,1,2,3,4,5,6,7,8
4/8/2009,-1.03457343,-0.506213853,-0.382022749,1.060615317,-2.99386058,1.327539903,-6.979455686,14.91143592,93.12653416
4/7/2009,-0.909304315,-0.175259705,-0.603402836,0.848494833,-3.084682392,1.315306547,-6.954067373,15.01431433,93.19860291
4/6/2009,0.931175176,0.366950684,-0.687363741,0.596763022,-3.159697699,1.302531606,-6.927265031,15.11616344,93.27074054
4/3/2009,0.423038321,0.70681269,-0.574498787,0.302385661,-3.21771836,1.289094743,-6.899046441,15.21698184,93.34294633
4/2/2009,-0.864734562,0.528888964,-0.245399748,-0.02865534,-3.257574194,1.274893586,-6.869409382,15.3167681,93.41521958
4/1/2009,-0.206597413,-0.220690886,0.203961862,-0.383131025,-3.278112855,1.259843591,-6.838351634,15.41552079,93.48755957
3/31/2009,0.836428759,-1.022212011,0.649249886,-0.746480972,-3.278199086,1.24387731,-6.805870976,15.5132385,93.55996559
3/30/2009,0.411871074,-1.284475691,0.966128165,-1.104144756,-3.256722458,1.226952118,-6.771965189,15.60991982,93.63243692
3/27/2009,-0.822153754,-0.699721118,1.053582531,-1.442062624,-3.212578235,1.209031087,-6.736632051,15.7055633,93.70497286
3/26/2009,0.812013982,0.648991254,0.905043564,-1.749334301,-3.144661683,1.190077287,-6.699869343,15.80016754,93.7775727
3/25/2009,-0.799808685,1.767629322,0.54189101,-2.020064933,-3.05199049,1.170053788,-6.661674843,15.89373111,93.85023572
3/24/2009,0.259006978,1.821651352,-0.003648655,-2.249026762,-2.934072049,1.148923662,-6.622046332,15.9862526,93.9229612
3/23/2009,0.787761774,0.852369834,-0.647874249,-2.430869603,-2.790536174,1.126649979,-6.580981589,16.07773058,93.99574845
3/20/2009,0.260897221,-0.664583235,-1.246534813,-2.560243271,-2.621012683,1.10319581,-6.538478394,16.16816362,94.06859675
3/19/2009,-0.816382159,-1.917066826,-1.642664427,-2.631797584,-2.425131392,1.078524225,-6.494534527,16.25755031,94.14150538
3/18/2009,0.844511665,-1.964495773,-1.698628634,-2.642578759,-2.202621889,1.052598295,-6.449147766,16.34588923,94.21447363
3/17/2009,-0.867474724,-0.221487595,-1.381675103,-2.59908477,-1.954022758,1.025381092,-6.402315892,16.43317896,94.28750079
3/16/2009,0.862704204,1.614384125,-0.788608054,-2.509674526,-1.681611972,0.996835684,-6.354036684,16.51941807,94.36058616
3/13/2009,-0.81280571,1.766288803,-0.043787981,-2.382573072,-1.388077409,0.966925144,-6.304307922,16.60460514,94.43372901
3/12/2009,-0.165230727,0.939902075,0.729290503,-2.226005452,-1.076106944,0.935612542,-6.253127386,16.68873875,94.50692864
3/11/2009,0.593793039,-0.087288074,1.415710291,-2.048196711,-0.748388455,0.902860948,-6.200492854,16.77181749,94.58018433
3/10/2009,-0.234529537,-0.801933517,1.921876144,-1.857371892,-0.407609819,0.868633434,-6.146402108,16.85383992,94.65349537
3/9/2009,-0.334787092,-1.128924424,2.178222632,-1.66175604,-0.056458912,0.83289307,-6.090852925,16.93480463,94.72686106
3/6/2009,0.244988671,-1.185990983,2.181265804,-1.469388593,0.302376389,0.795602926,-6.033843086,17.0147102,94.80028067
3/5/2009,-0.205727378,-0.879344643,1.916269014,-1.28607061,0.666208207,0.756726074,-5.975370371,17.0935552,94.8737535
3/4/2009,0.217469158,-0.453845033,1.406052833,-1.111433709,1.032348665,0.716225584,-5.915432559,17.17133822,94.94727884
3/3/2009,-0.261614773,0.198553858,0.739614679,-0.943613549,1.398109886,0.674064527,-5.85402743,17.24805783,95.02085597
3/2/2009,0.310929957,0.7913063,0.020898067,-0.781187323,1.760803994,0.630205973,-5.791152763,17.32371262,95.09448418
2/27/2009,-0.037764022,0.864611232,-0.646224584,-0.622638303,2.117743112,0.584612993,-5.726806338,17.39830115,95.16816276
2/26/2009,-0.358155325,0.543204804,-1.1818155,-0.459451075,2.466239362,0.537248658,-5.660985935,17.47182201,95.241891
2/25/2009,-0.056680143,0.105880052,-1.575883277,-0.281250171,2.803604868,0.488076039,-5.593689333,17.54427378,95.31566818
2/24/2009,0.314582004,-0.425905376,-1.835463793,-0.077660124,3.127151754,0.437058206,-5.524914311,17.61565504,95.3894936
2/23/2009,-0.057002942,-0.950298822,-1.966729453,0.16100559,3.434192142,0.38415823,-5.45465865,17.68596436,95.46336654
2/20/2009,-0.237893631,-0.815866215,-1.967935114,0.44074813,3.722038155,0.329339182,-5.382920129,17.75520033,95.5372863
2/19/2009,0.225848667,0.255654223,-1.827006596,0.760023521,3.988001918,0.272564132,-5.309696528,17.82336152,95.61125215
2/18/2009,-0.253706424,1.076947772,-1.560962305,1.103806988,4.229395552,0.21379615,-5.234985626,17.89044651,95.68526339
2/17/2009,0.325472729,0.533847393,-1.196776538,1.453935951,4.443531181,0.152998309,-5.158785203,17.95645388,95.7593193
2/13/2009,-0.425430134,-0.15068775,-0.767690901,1.792247831,4.627720929,0.090133678,-5.081093038,18.02138221,95.83341918
2/12/2009,0.527017013,-0.674408953,-0.308513826,2.100580049,4.779276918,0.025165328,-5.001906911,18.08523008,95.9075623
